danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.776,0.721,1,-5.968,1,0.136,0.625,1.29e-05,0.074,0.823,114.992,audio_features,5ZpYanxEoJRJjfWJORq2Jf,spotify:track:5ZpYanxEoJRJjfWJORq2Jf,https://api.spotify.com/v1/tracks/5ZpYanxEoJRJjfWJORq2Jf,https://api.spotify.com/v1/audio-analysis/5ZpYanxEoJRJjfWJORq2Jf,194917,4
0.712,0.659,8,-7.536,0,0.0549,0.0839,3.45e-05,0.0679,0.773,99.969,audio_features,6OgDOWenUoSOYeRDMKhv0y,spotify:track:6OgDOWenUoSOYeRDMKhv0y,https://api.spotify.com/v1/tracks/6OgDOWenUoSOYeRDMKhv0y,https://api.spotify.com/v1/audio-analysis/6OgDOWenUoSOYeRDMKhv0y,188046,4
0.546,0.544,11,-5.13,1,0.0286,0.688,0,0.299,0.315,86.538,audio_features,4d1b9ai6iL0svRcICPsZwv,spotify:track:4d1b9ai6iL0svRcICPsZwv,https://api.spotify.com/v1/tracks/4d1b9ai6iL0svRcICPsZwv,https://api.spotify.com/v1/audio-analysis/4d1b9ai6iL0svRcICPsZwv,80030,4
0.495,0.711,11,-4.165,1,0.0376,0.034,0,0.0745,0.252,85.886,audio_features,1qZC7gWAR5blkKT1DI4niR,spotify:track:1qZC7gWAR5blkKT1DI4niR,https://api.spotify.com/v1/tracks/1qZC7gWAR5blkKT1DI4niR,https://api.spotify.com/v1/audio-analysis/1qZC7gWAR5blkKT1DI4niR,234879,4
0.494,0.613,5,-6.813,1,0.0633,0.00484,0,0.115,0.385,159.993,audio_features,3hrxTCRmw5mjaTMQhlryIc,spotify:track:3hrxTCRmw5mjaTMQhlryIc,https://api.spotify.com/v1/tracks/3hrxTCRmw5mjaTMQhlryIc,https://api.spotify.com/v1/audio-analysis/3hrxTCRmw5mjaTMQhlryIc,278250,4
0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4
0.57,0.778,6,-4.378,1,0.0386,0.044,0,0.0843,0.168,123.847,audio_features,0s96Y4iLjNgEJBjlEZLBNu,spotify:track:0s96Y4iLjNgEJBjlEZLBNu,https://api.spotify.com/v1/tracks/0s96Y4iLjNgEJBjlEZLBNu,https://api.spotify.com/v1/audio-analysis/0s96Y4iLjNgEJBjlEZLBNu,255947,4
0.642,0.289,10,-11.86,1,0.0472,0.763,0,0.0856,0.282,78.004,audio_features,6x7SB38tuekpu4xpH9OIPY,spotify:track:6x7SB38tuekpu4xpH9OIPY,https://api.spotify.com/v1/tracks/6x7SB38tuekpu4xpH9OIPY,https://api.spotify.com/v1/audio-analysis/6x7SB38tuekpu4xpH9OIPY,273438,4
0.651,0.705,11,-7.082,0,0.0521,0.156,0,0.0642,0.485,136.023,audio_features,21ACvBsQXpDd3bZCpOwnL8,spotify:track:21ACvBsQXpDd3bZCpOwnL8,https://api.spotify.com/v1/tracks/21ACvBsQXpDd3bZCpOwnL8,https://api.spotify.com/v1/audio-analysis/21ACvBsQXpDd3bZCpOwnL8,257372,4
0.64,0.718,1,-5.088,1,0.0649,0.0629,0,0.0946,0.735,92.989,audio_features,3E5HwkuvaaW60z6lLHj5D4,spotify:track:3E5HwkuvaaW60z6lLHj5D4,https://api.spotify.com/v1/tracks/3E5HwkuvaaW60z6lLHj5D4,https://api.spotify.com/v1/audio-analysis/3E5HwkuvaaW60z6lLHj5D4,234541,4
